

#ID = 
#TYPE = Probe type, e.g. cDNA_clone for probes derived from a cDNA clone
#ReporterID = Brief probe ID/name, e.g. ID for the cDNA clone used to produce probe
#GeneName = Gene description annotation for probe
#GeneSymbol = Gene symbol annotation for probe
#UniGeneCluster = UniGene cluster ID annotation for probe
#UniGeneBuild = The UniGene build from which probe annotations were collected
#GB_LIST = GeneBank accession and/or RefSeq number annotation for probe
#EntrezGene = Entrez ID annotation for probe
#vector = cDNA clone vector name
#InsertLength = Length of vector insert
#ARRAY_BLOCK = Array block number, i.e. a number from 1 to 48
#BLOCK_COLUMN = Column within array block
#BLOCK_ROW = Row within array block
#SPOT_ID = spot identifier
#CLONE_ID = IMAGE clone identifier
ID	TYPE	ReporterID	GeneName	GeneSymbol	UniGeneCluster	UniGeneBuild	GB_LIST	EntrezGene	vector	InsertLength	ARRAY_BLOCK	BLOCK_COLUMN	BLOCK_ROW	SPOT_ID	CLONE_ID
1	cDNA_landinglight	IMAGE:2580289	B-actin_1/4	ACTB	Hs.520640	188	AW081870,  NM_001101	60	pCMV-SPORT6		1	1	1		
2	cDNA_landinglight	IMAGE:2580289	B-actin_1/8	ACTB	Hs.520640	188	AW081870,  NM_001101	60	pCMV-SPORT6		1	2	1		
3	cDNA_clone	BC DDP 2 E12	AL122097 DKFZp434P1215(unknown)								1	3	1	BC DDP 2 E12	
4	cDNA_clone	BC DDP 2 G12	strange								1	4	1	BC DDP 2 G12	
5	cDNA_clone	BC TAX 1 A06	XM_017216 hypothetical protein FLJ21127(unknown)								1	5	1	BC TAX 1 A06	
6	cDNA_clone	BC TAX 1 C06									1	6	1	BC TAX 1 C06	
7	cDNA_clone	BC TAX 1 E06	NM_025155 hypothetical protein FLJ11848(unknown)								1	7	1	BC TAX 1 E06	
8	cDNA_clone	BC TAX 1 G06									1	8	1	BC TAX 1 G06	
9	cDNA_clone	BC TAX 1 A12	AF028832 Hsp89-alpha-delta-N mRNA(heat shock protein)								1	9	1	BC TAX 1 A12	
10	cDNA_clone	BC TAX 1 C12									1	10	1	BC TAX 1 C12	
11	cDNA_clone	BC TAX 1 E12									1	11	1	BC TAX 1 E12	
12	cDNA_clone	BC TAX 1 G12	no hit(unknown)								1	12	1	BC TAX 1 G12	
13	cDNA_clone	BC TAX 5 A06	XM_002072 signal sequence receptor beta (translocon-associated protein beta) (SSR2)(ER receptor protein translocation)								1	13	1	BC TAX 5 A06	
14	cDNA_clone	BC TAX 5 C06	XM_004347 elongation of very long chain fatty acids (FEN1/Elo2 SUR4/Elo3 yeast)-like 2(DNA replication/repair)								1	14	1	BC TAX 5 C06	
15	cDNA_clone	BC TAX 5 E06	AF347015 NADH dehydrogenase subunit 2(mitochondria gene energy-generating)								1	15	1	BC TAX 5 E06	
